,Dia,Estado,Municipio,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2000145,2023-11-13,PARÁ,ULIANÓPOLIS,23.0,0.0,1.0,-3.6831,-47.637299,0
2009429,2023-11-13,PARÁ,SÃO JOÃO DE PIRABAS,53.0,0.0,1.0,-0.7491,-47.2347,102.7
1399869,2023-08-18,PARÁ,SÃO FÉLIX DO XINGU,8.0,0.0,1.0,-6.43998,-53.09917,0.7
2289141,2023-11-30,MARANHÃO,GOVERNADOR NUNES FREIRE,9.0,0.0,1.0,-1.87484,-45.81635,9.7
253999,2023-10-03,AMAPÁ,OIAPOQUE,8.0,0.0,1.0,3.38268,-51.25245,2.5
1095798,2023-09-23,AMAZONAS,LÁBREA,1.0,0.6,1.0,-9.18809,-66.99944,59.2
2148830,2023-11-19,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,7.0,0.4,1.0,-12.76631,-62.82835,36.5
459649,2023-10-13,PARÁ,NOVO REPARTIMENTO,1.0,5.5,1.0,-4.75851,-49.77481,2.5
1777104,2023-10-30,PARÁ,SALVATERRA,7.0,0.0,1.0,-0.8215,-48.6609,74.3
107002,2023-06-20,MARANHÃO,SANTA LUZIA,9.0,0.0,1.0,-4.50523,-45.9122,3.1
836673,2023-09-10,MATO GROSSO,VILA BELA DA SANTÍSSIMA TRINDADE,0.0,0.41,1.0,-15.0243,-60.0113,58.1
2127907,2023-11-18,PARÁ,MUANÁ,8.0,0.0,1.0,-1.37192,-49.31114,4.8
1282218,2023-08-08,MATO GROSSO,PARANAÍTA,26.0,0.0,1.0,-9.25665,-57.08516,14.2
1503368,2023-08-21,PARÁ,SÃO FÉLIX DO XINGU,12.0,0.0,1.0,-6.5645,-53.32,147.7
2093567,2023-11-16,PARÁ,PRAINHA,20.0,0.0,1.0,-1.734,-53.6704,80.7
2274804,2023-12-30,RORAIMA,NORMANDIA,3.0,0.0,1.0,3.934,-60.0457,67.8
300932,2023-10-05,PARÁ,OEIRAS DO PARÁ,11.0,0.0,1.0,-2.66083,-49.82335,11.5
2011560,2023-11-13,MARANHÃO,ARAME,7.0,0.0,1.0,-4.80997,-45.71224,5.9
1792233,2023-10-31,PARÁ,PONTA DE PEDRAS,8.0,0.0,1.0,-1.19,-49.1266,101.5
1884625,2023-10-26,PARÁ,GARRAFÃO DO NORTE,5.0,0.0,1.0,-2.452,-47.182,68.7
1862624,2023-11-04,PARÁ,TERRA SANTA,11.0,0.0,1.0,-2.0586,-56.4088,101.1
1192000,2023-09-27,MARANHÃO,SANTA LUZIA,5.0,0.0,1.0,-4.4314,-45.850101,0
896469,2023-09-13,PARÁ,ALTAMIRA,5.0,0.0,1.0,-8.0931,-54.889,57.4
1835578,2023-11-03,PARÁ,PORTO DE MOZ,10.0,0.0,1.0,-2.0684,-52.0377,39.3
1879676,2023-11-05,AMAPÁ,ITAUBAL,12.0,0.0,1.0,0.66297,-50.84207,8.1
684052,2023-09-05,MATO GROSSO,BRASNORTE,2.0,0.0,1.0,-12.47208,-57.66616,0.8
172583,2023-07-18,MATO GROSSO,CONFRESA,33.0,0.0,1.0,-10.3118,-51.6795,3.9
1750930,2023-10-29,PARÁ,ANAPU,5.0,0.0,1.0,-2.8425,-51.7323,121.2
252781,2023-10-03,MARANHÃO,GRAJAÚ,120.0,0.0,1.0,-5.37153,-46.14138,1.0
382735,2023-10-09,AMAZONAS,MAUÉS,3.0,0.0,1.0,-6.51701,-58.48237,14.2
258101,2023-10-03,MARANHÃO,SANTA INÊS,34.0,0.0,1.0,-3.87901,-45.35234,6.1
2241026,2023-12-14,PARÁ,MOJUÍ DOS CAMPOS,2.0,0.0,1.0,-2.6678,-54.6568,35.3
1290982,2023-08-09,MATO GROSSO,PARANATINGA,77.0,0.0,1.0,-13.3552,-54.3179,51.7
1108540,2023-09-24,PARÁ,BREU BRANCO,12.0,0.0,1.0,-3.43894,-48.95971,6.8
1725806,2023-10-27,MARANHÃO,ZÉ DOCA,14.0,0.0,1.0,-3.3284,-46.0716,105.7
1671183,2023-06-29,PARÁ,SANTA MARIA DAS BARREIRAS,29.0,0.0,1.0,-9.01061,-49.91138,6.0
1477976,2023-08-20,PARÁ,NOVO PROGRESSO,10.0,0.0,1.0,-7.43489,-55.43879,22.4
2155575,2023-11-21,RORAIMA,CARACARAÍ,8.0,0.0,1.0,1.3576,-60.9372,67.9
1999475,2023-11-13,PARÁ,PARAGOMINAS,8.0,0.0,1.0,-2.6227,-46.910599,0
2176051,2023-11-25,PARÁ,PORTEL,14.0,3.61,1.0,-3.33315,-50.44107,3.5
434560,2023-10-11,AMAPÁ,PRACUÚBA,20.0,0.0,1.0,1.8134,-50.8847,54.9
955677,2023-09-15,PARÁ,SANTA MARIA DAS BARREIRAS,11.0,0.0,1.0,-8.4306,-50.8111,54.7
2126387,2023-11-18,MARANHÃO,ARAGUANÃ,9.0,0.0,1.0,-3.09094,-45.85401,12.4
776883,2023-09-08,PARÁ,MOJUÍ DOS CAMPOS,9.0,0.0,1.0,-2.9431,-54.6707,61.9
1270306,2023-08-06,MATO GROSSO,PARANATINGA,88.0,0.0,1.0,-13.38682,-54.35581,14.2
2242424,2023-12-14,RORAIMA,AMAJARI,17.0,0.2,1.0,3.96061,-61.08904,1.2
1298350,2023-08-09,MATO GROSSO,PARANATINGA,82.0,0.0,1.0,-13.33562,-54.38424,54.3
2011760,2023-11-13,PARÁ,ULIANÓPOLIS,6.0,0.0,1.0,-4.05251,-47.33014,9.4
320451,2023-10-06,PARÁ,ÓBIDOS,13.0,0.0,1.0,2.17978,-55.81052,2.9
1996010,2023-11-08,MARANHÃO,MONÇÃO,16.0,0.0,1.0,-3.44226,-45.3088,7.5
1817537,2023-11-02,PARÁ,PARAGOMINAS,22.0,0.0,1.0,-3.3955,-47.5439,43.4
1402290,2023-08-18,PARÁ,MARABÁ,12.0,0.0,1.0,-5.50093,-49.20898,3.3
1501629,2023-08-21,PARÁ,ALTAMIRA,8.0,0.0,1.0,-8.192,-54.77147,9.2
1662775,2023-10-25,MARANHÃO,SATUBINHA,8.0,0.0,1.0,-4.0023,-45.2352,133.5
860817,2023-09-11,MATO GROSSO,PEIXOTO DE AZEVEDO,8.0,0.0,1.0,-10.5471,-54.506,131.8
1040800,2023-09-19,PARÁ,PACAJÁ,11.0,0.0,1.0,-4.07789,-50.88734,3.6
1760024,2023-10-29,MARANHÃO,CARUTAPERA,8.0,0.0,1.0,-1.6584,-46.0989,57.4
2011906,2023-11-13,PARÁ,MONTE ALEGRE,5.0,0.0,1.0,-1.33188,-54.05437,10.7
2302138,2023-11-22,MARANHÃO,PRESIDENTE MÉDICI,12.0,1.86,1.0,-2.28091,-45.71495,15.4
942549,2023-09-15,PARÁ,ALTAMIRA,8.0,0.0,1.0,-8.3363,-54.7525,58.3
2179141,2023-11-25,PARÁ,NOVO REPARTIMENTO,1.0,0.5,1.0,-4.01484,-50.6192,5.0
2057395,2023-11-15,PARÁ,NOVO REPARTIMENTO,9.0,0.0,1.0,-4.7862,-50.53194,1.8
1032276,2023-09-18,AMAZONAS,IRANDUBA,1.0,0.0,1.0,-3.26353,-60.12234,15.5
945052,2023-08-29,MATO GROSSO,TERRA NOVA DO NORTE,6.0,0.9,1.0,-10.36862,-54.87362,6.5
348989,2023-10-08,PARÁ,PORTO DE MOZ,12.0,0.0,1.0,-2.65156,-52.47462,20.7
1256430,2023-08-05,MATO GROSSO,PARANATINGA,83.0,0.0,1.0,-13.3355,-54.3614,124.8
1747037,2023-10-28,PARÁ,CACHOEIRA DO ARARI,5.0,0.0,1.0,-0.82086,-48.74129,6.6
1963343,2023-11-11,MARANHÃO,SÃO JOÃO DO CARÚ,4.0,0.0,1.0,-3.5012,-46.27098,91.5
574967,2023-10-21,PARÁ,ÓBIDOS,3.0,0.0,1.0,1.70708,-55.52957,6.4
947214,2023-09-15,AMAPÁ,TARTARUGALZINHO,32.0,0.0,1.0,1.0582,-51.0198,60.1
1299455,2023-08-09,MATO GROSSO,NOVA MARINGÁ,45.0,0.0,1.0,-12.9834,-56.78553,104.3
1984095,2023-11-12,MARANHÃO,VIANA,3.0,0.0,1.0,-3.01836,-45.15852,29.6
